venueID,name
4b16ad7ef964a520e4bb23e3,24 Diner
47da763df964a520354e1fe3,Alamo Drafthouse Cinema – Ritz
4b8ab304f964a520af7a32e3,Asia Cafe
49e9c623f964a52003661fe3,AT&T Executive Education and Conference Center
440da2cbf964a52091301fe3,Austin Bergstrom International Airport (AUS)
440da323f964a52092301fe3,Austin Convention Center
40b13b00f964a52060f31ee3,Austin Music Hall
4d1bb4017e10a35d5737f982,Barley Swine
43ed0a2ff964a5204b2f1fe3,Barton Creek Square Mall
49ea240af964a52028661fe3,Central Market S
436e9900f964a520e0291fe3,Central Market N
45f67b5af964a52027441fe3,Chez Nous
40b52f80f964a52051001fe3,Continental Club
4d6e81901c1041bd009d5d28,Easy Tiger
49bb2f3af964a520da531fe3,Fogo de Chao Churrascaria
45f02c8af964a520b9431fe3,Four Seasons Hotel Austin
4a5689b8f964a52059b51fe3,Frank Restaurant
4d755f73fc766a314d778d1a,Franklin Barbecue
42323100f964a5200b201fe3,Hilton Austin
4cb5e045e262b60c46cb6ae0,Hopdoddy Burger Bar
49b73729f964a52023531fe3,Hyatt Regency Austin
49e32bbaf964a52068621fe3,La Condesa
4abb007bf964a520828320e3,Long Center for the Performing Arts
4aa95d80f964a520495320e3,McCombs School Of Business (CBA)
44b75631f964a5206d351fe3,Paramount Theatre
49ba6a0ff964a52061531fe3,Parkside
4fb2ae25e4b05768be332d90,Pelóns
4aa06c38f964a520923f20e3,Perry's Steakhouse
49c7ed7ef964a520d4571fe3,Perry-Castañeda Library (PCL)
43fda18af964a520f22f1fe3,Red 7
4ad0ead9f964a52016db20e3,Seton Medical Center
45f1b019f964a520d3431fe3,Sheraton Austin Hotel at the Capitol
49ce6931f964a5203a5a1fe3,South Congress Cafe
4b070b15f964a5201df622e3,St. David's Medical Center
4f5966a7e4b0a5edcfe28de5,Swift's Attic
49bd2c3af964a52052541fe3,Texas State Capitol
44fefd89f964a5209e381fe3,The Belmont
45f2c1f7f964a520e4431fe3,The Domain
440fee99f964a520b2301fe3,The Parish
4f6a6560e4b026c4ac01b64c,The W hotel
436d4780f964a520d2291fe3,Titaya's Thai Cuisine
4bb79325314e95219255479d,Turf N' Surf Poboys
4aef46a0f964a52025d721e3,Uchi
4c16cd03955976b01a29a5f6,Uchiko
4ae14e1cf964a520e68521e3,University Medical Center Brackenridge
43582f80f964a520dd281fe3,Whole Foods Market
